"MVA_genes";"V"
"1";"C23L";"VACWR001"
"2";"VACWR002";"VACWR002"
"3";"VACWR003";"VACWR003"
"4";"C22L";"VACWR004"
"5";"VACWR005";"VACWR005"
"6";"VACWR006";"VACWR006"
"7";"VACWR007";"VACWR007"
"8";"C19L";"VACWR008"
"9";"C11R";"VACWR009"
"10";"C10L";"VACWR010"
"11";"temporal expression: early";"VACWR011"
"12";"VACWR012";"VACWR012"
"13";"temporal expression: early.1";"VACWR013"
"14";"VACWR014";"VACWR014"
"15";"VACWR015";"VACWR015"
"16";"VACWR016";"VACWR016"
"17";"VACWR017";"VACWR017"
"18";"temporal expression: early.2";"VACWR018"
"19";"C9L";"VACWR019"
"20";"C8L";"VACWR020"
"21";"C7L";"VACWR021"
"22";"C6L";"VACWR022"
"23";"C5L";"VACWR023"
"24";"C4L";"VACWR024"
"25";"C3L";"VACWR025"
"26";"C2L";"VACWR026"
"27";"C1L";"VACWR027"
"28";"N1L";"VACWR028"
"29";"N2L";"VACWR029"
"30";"M1L";"VACWR030"
"31";"M2L";"VACWR031"
"32";"K1L";"VACWR032"
"33";"K2L";"VACWR033"
"34";"K3L";"VACWR034"
"35";"K4L";"VACWR035"
"36";"VACWR036";"VACWR036"
"37";"VACWR037";"VACWR037"
"38";"K6L";"VACWR038"
"39";"K7R";"VACWR039"
"40";"F1L";"VACWR040"
"41";"F2L";"VACWR041"
"42";"F3L";"VACWR042"
"43";"F4L";"VACWR043"
"44";"F5L";"VACWR044"
"45";"F6L";"VACWR045"
"46";"F7L";"VACWR046"
"47";"F8L";"VACWR047"
"48";"F9L";"VACWR048"
"49";"F10L";"VACWR049"
"50";"F11L";"VACWR050"
"51";"F12L";"VACWR051"
"52";"F13L";"VACWR052"
"53";"F14L";"VACWR053"
"54";"F14.5L";"VACWR053.5"
"55";"F15L";"VACWR054"
"56";"F16L";"VACWR055"
"57";"F17R";"VACWR056"
"58";"E1L";"VACWR057"
"59";"E2L";"VACWR058"
"60";"E3L";"VACWR059"
"61";"E4L";"VACWR060"
"62";"E5R";"VACWR061"
"63";"E6R";"VACWR062"
"64";"E7R";"VACWR063"
"65";"E8R";"VACWR064"
"66";"E9L";"VACWR065"
"67";"E10R";"VACWR066"
"68";"E11L";"VACWR067"
"69";"O1L";"VACWR068"
"70";"O2L";"VACWR069"
"71";"VACWR069.5";"VACWR069.5"
"72";"I1L";"VACWR070"
"73";"I2L";"VACWR071"
"74";"I3L";"VACWR072"
"75";"I4L";"VACWR073"
"76";"I5L";"VACWR074"
"77";"I6L";"VACWR075"
"78";"I7L";"VACWR076"
"79";"I8R";"VACWR077"
"80";"G1L";"VACWR078"
"81";"G3L";"VACWR079"
"82";"G2R";"VACWR080"
"83";"G4L";"VACWR081"
"84";"G5R";"VACWR082"
"85";"G5.5R";"VACWR083"
"86";"G6R";"VACWR084"
"87";"G7L";"VACWR085"
"88";"G8R";"VACWR086"
"89";"G9R";"VACWR087"
"90";"L1R";"VACWR088"
"91";"L2R";"VACWR089"
"92";"L3L";"VACWR090"
"93";"L4R";"VACWR091"
"94";"L5R";"VACWR092"
"95";"J1R";"VACWR093"
"96";"J2R";"VACWR094"
"97";"J3R";"VACWR095"
"98";"J4R";"VACWR096"
"99";"J5L";"VACWR097"
"100";"J6R";"VACWR098"
"101";"H1L";"VACWR099"
"102";"H2R";"VACWR100"
"103";"H3L";"VACWR101"
"104";"H4L";"VACWR102"
"105";"H5R";"VACWR103"
"106";"H6R";"VACWR104"
"107";"H7R";"VACWR105"
"108";"D1R";"VACWR106"
"109";"D2L";"VACWR107"
"110";"D3R";"VACWR108"
"111";"D4R";"VACWR109"
"112";"D5R";"VACWR110"
"113";"D6R";"VACWR111"
"114";"D7R";"VACWR112"
"115";"D8L";"VACWR113"
"116";"D9R";"VACWR114"
"117";"D10R";"VACWR115"
"118";"D11L";"VACWR116"
"119";"D12L";"VACWR117"
"120";"D13L";"VACWR118"
"121";"A1L";"VACWR119"
"122";"A2L";"VACWR120"
"123";"A2.5L";"VACWR121"
"124";"A3L";"VACWR122"
"125";"A4L";"VACWR123"
"126";"A5R";"VACWR124"
"127";"A6L";"VACWR125"
"128";"A7L";"VACWR126"
"129";"A8R";"VACWR127"
"130";"A9L";"VACWR128"
"131";"A10L";"VACWR129"
"132";"A11R";"VACWR130"
"133";"A12L";"VACWR131"
"134";"A13L";"VACWR132"
"135";"A14L";"VACWR133"
"136";"A14.5L";"VACWR134"
"137";"A15L";"VACWR135"
"138";"A16L";"VACWR136"
"139";"A17L";"VACWR137"
"140";"A18R";"VACWR138"
"141";"A19L";"VACWR139"
"142";"A21L";"VACWR140"
"143";"A20R";"VACWR141"
"144";"A22R";"VACWR142"
"145";"A23R";"VACWR143"
"146";"A24R";"VACWR144"
"147";"VACWR145";"VACWR145"
"148";"VACWR146";"VACWR146"
"149";"VACWR147";"VACWR147"
"150";"VACWR148";"VACWR148"
"151";"A26L";"VACWR149"
"152";"A27L";"VACWR150"
"153";"A28L";"VACWR151"
"154";"A29L";"VACWR152"
"155";"A30L";"VACWR153"
"156";"A30.5L";"VACWR153.5"
"157";"A31R";"VACWR154"
"158";"A32L";"VACWR155"
"159";"A33R";"VACWR156"
"160";"A34R";"VACWR157"
"161";"A35R";"VACWR158"
"162";"A36R";"VACWR159"
"163";"A37R";"VACWR160"
"164";"VACWR161";"VACWR161"
"165";"A38L";"VACWR162"
"166";"A39R";"VACWR163"
"167";"VACWR164";"VACWR164"
"168";"A40R";"VACWR165"
"169";"A41L";"VACWR166"
"170";"A42R";"VACWR167"
"171";"A43R";"VACWR168"
"172";"VACWR169";"VACWR169"
"173";"A44L";"VACWR170"
"174";"A45R";"VACWR171"
"175";"A46R";"VACWR172"
"176";"A47L";"VACWR173"
"177";"A48R";"VACWR174"
"178";"A49R";"VACWR175"
"179";"A50R";"VACWR176"
"180";"A51R";"VACWR177"
"181";"A52R";"VACWR178"
"182";"A53R";"VACWR179"
"183";"A55R";"VACWR180"
"184";"A56R";"VACWR181"
"185";"VACWR181.5";"VACWR181.5"
"186";"VACWR182";"VACWR182"
"187";"B1R";"VACWR183"
"188";"B2R";"VACWR184"
"189";"VACWR185";"VACWR185"
"190";"B4R";"VACWR186"
"191";"B5R";"VACWR187"
"192";"B6R";"VACWR188"
"193";"B7R";"VACWR189"
"194";"B8R";"VACWR190"
"195";"B9R";"VACWR191"
"196";"VACWR192";"VACWR192"
"197";"B11R";"VACWR193"
"198";"B12R";"VACWR194"
"199";"B13R";"VACWR195"
"200";"B15R";"VACWR196"
"201";"VACWR-B15R";"VACWR197"
"202";"B17L";"VACWR198"
